Date,Name,Description,Component,Affiliate Name,Class Name,Fully Formatted Result,Is Personal Record,Personal Record Description,Is Rx,Is Rx Plus,Result Type Label,Full Comment
02/27/2020,Half Kyle,"1min Sumo Squat Hold
100m Sprint
25 Box Jumps [20""]
45m Frog Jumps
25 Burpee Tuck Jumps
45m Walking Lunges
25 Toes to Bar
100m Sprint
25 Squat Jumps
45m Frog Jumps
25 Pull Ups
43m Walking Lunges
26 Box Pistols [10"" Box]
1min Sumo Squat Hold",8049788,Fitness Battalion,CrossFit Coaches Class,30:00,0,,1,0,Time,
02/26/2020,Metcon,"15min AMRAP
5 Band Resisted Push Ups [Green-3, Purple-3] or Handstand Push Ups
5 KB Swings [100/70]
5 Goblet Squats",14973837,Fitness Battalion,CrossFit: 17:30,8 + 0,0,,1,0,AMRAP - Rounds and Reps,
02/25/2020,Metcon,"10 KB Snatches [53/35]
30m Waiters Walk (R)
20 Goblet Squats
30m Waiters Walk (L)
30 Burpees
30m Waiters Walk (R)
40 KB Swings
30m Waiters Walk (L)
50 KB Deadlifts
100 Double Unders",14973832,Fitness Battalion,CrossFit Coaches Class,12:00,0,,1,0,Time,
02/24/2020,Captain Davis,"5 Rounds
15 Deadlifts [95/65]
10 Hang Power Cleans
5 Push Jerks",8242507,Fitness Battalion,CrossFit Coaches Class,4:44,1,PR by 3:46 vs. 8:30 on 09/29/2017,1,0,Time,
02/22/2020,FB Triathlon,"FB Triathlon
10min AMRAP
Back Squats [BW][75%BW][Box]
Then
5000m Row
Then
Monster Mile Run
(Each back squat completed earns a 6 second reduction of your total time)",8415434,Fitness Battalion,CrossFit Coaches Class,49:00,0,,1,0,Time,49
02/19/2020,2min Double-Unders,Get as many double-unders as possible in two minutes. Record your largest unbroken set in the notes,8435223,Fitness Battalion,CrossFit: 18:30,100 Reps,0,,1,0,AMRAP - Reps,
02/19/2020,Max Double-Unders,Max set of Unbroken Double-Unders,165,Fitness Battalion,CrossFit: 18:30,44 Reps,0,,1,0,AMRAP - Reps,
02/19/2020,Mary,"20-Minute AMRAP of:  
5 Handstand Push-ups  
10 Pistols (5-L / 5-R)  
15 Pull-ups",173,Fitness Battalion,CrossFit: 18:30,8 + 25,0,,1,0,AMRAP - Rounds and Reps,
02/07/2020,Metcon,"15min AMRAP
500m Bike
10 MB TTB [10/6]
20 GHD Sit Ups",14716227,Fitness Battalion,CrossFit: 6:30,5 + 50,0,,0,0,AMRAP - Rounds and Reps,regular TTB
02/05/2020,DT,"5 Rounds for time:  
12 Deadlifts, 155# / 105# 
9 Hang Power Cleans, 155# / 105#
6 Push Jerks, 155# / 105#",116,Fitness Battalion,CrossFit: 18:30,7:33,1,PR by 2:02 vs. 9:35 on 03/25/2019,1,0,Time,
02/04/2020,Metcon,"21-15-9
WB Shots [14/20]
Deficit Push Ups [4""]",14716192,Fitness Battalion,CrossFit Coaches Class,3:45,0,,1,0,Time,
01/31/2020,Metcon,"21-15-9
Thrusters [95/65]
Box Jumps [24""]",14642123,Fitness Battalion,CrossFit: 12:00,5:28,0,,1,0,Time,
01/30/2020,Metcon,"15min AMRAP
Sumo Bear Complex [135/85]",14642100,Fitness Battalion,CrossFit Coaches Class,145 lbs,0,,1,0,Weight,
01/29/2020,The Seven,"7 Rounds of:  
7 Handstand Push-ups  
7 Thrusters, 135#  
7 Knees-To-Elbows  
7 Deadlifts, 245#  
7 Burpees  
7 Kettlebell Swings, 70#  
7 Pull-ups",211,Fitness Battalion,CrossFit: 17:30,38:52,0,,1,0,Time,
01/24/2020,Max Double-Unders,Max set of Unbroken Double-Unders,165,Fitness Battalion,CrossFit: 12:00,51 Reps,1,PR by 16 reps vs. 35 on 04/08/2019,1,0,AMRAP - Reps,
01/24/2020,2min Double-Unders,Get as many double-unders as possible in two minutes. Record your largest unbroken set in the notes,8435223,Fitness Battalion,CrossFit: 12:00,115 Reps,0,,1,0,AMRAP - Reps,
01/24/2020,Metcon,"3 Rounds
20/15cal Bike
15 Hang Power Cleans [95/65]
10 Thrusters
Rest 3min",14541996,Fitness Battalion,CrossFit: 12:00,6:03,0,,1,0,Each Round For Time,
01/22/2020,Metcon,"3 Rounds of 5min
15 DB Thrusters [50s/35s]
15 DB Sit Ups [50s/35s]
AMRAP Flips/Tosses
(After you finish your db sit ups, tire flip or slosh ball toss for max reps until the 5min mark. Each flip at [225/145] or toss at [84/48] is worth 1 point, each flip [345/225] or toss [120/84] is worth 3, and each toss at [160/120] is worth 5. Gear is first come first served)",14541972,Fitness Battalion,CrossFit: 17:30,91 Reps,0,,1,0,AMRAP - Reps,
01/20/2020,Fran Smash,"15-12-9
Thrusters [135/95]
Bar Muscle Ups",8755287,Fitness Battalion,CrossFit: 12:00,17:28,0,,0,0,Time,"105#, double band mu reds"
01/17/2020,Metcon,"5 Rounds
250m Run
10 Push Presses [95/65]
10 Overhead Squats",14468694,Fitness Battalion,CrossFit: 6:30,10:25,0,,1,0,Time,
01/15/2020,Metcon,"21-15-9
KB Swings [70/53]
Box Jumps [24""] ",14468590,Fitness Battalion,CrossFit: 17:30,3:49,0,,1,0,Time,
01/14/2020,Metcon,"15min AMRAP
5 Hang Power Snatches [135/85]
3 Barbel Burpees
10 Front Squats",14468565,Fitness Battalion,CrossFit Coaches Class,7 + 0,0,,1,0,AMRAP - Rounds and Reps,
01/09/2020,Metcon,"30/21cal Row
20 OH Lunges [95/65]
25/17cal Bike
20 OH Lunges
400m Run
20 OH Lunges",14395449,Fitness Battalion,CrossFit Coaches Class,9:15,0,,1,0,Time,
01/08/2020,Metcon,"10min Death By
WB Shots [20/14]
Then
KB Swings [70/53]
Then
Burpee Tuck Jumps
Then
15min Death By
Cal Row",14395431,Fitness Battalion,CrossFit: 17:30,440 Total Reps,0,,1,0,Each Round For Reps,
01/07/2020,Metcon,"21 Thrusters [95/65]
60m Bear Crawl
15 Thrusters
40m Bear Crawl
9 Thrusters
20m Bear Crawl",14395419,Fitness Battalion,CrossFit Coaches Class,4:47,0,,1,0,Time,
01/03/2020,Baseline,"500m Row
40 Squats
30 Sit Ups
20 Push Ups
10 Pull Ups",8542589,Fitness Battalion,CrossFit Coaches Class,4:50,1,PR by 0:10 vs. 5:00 on 01/28/2019,1,0,Time,
01/02/2020,Metcon,"15min AMRAP
5 Thrusters [135/85]
15m Death March [50s/35s]
3 Bear Complexes
15m Death March",14317657,Fitness Battalion,CrossFit: 6:30,3 + 5,0,,1,0,AMRAP - Rounds and Reps,105#
12/28/2019,Iron Triathlon (Sprint),"10-9-8...-2-1-2...8-9-10
BS [185/115]
Press [105/70]
DL [225/135]

(Press is either bench or push. Stay with one or the other throughout)",12439097,Fitness Battalion,CrossFit: 10:00,43:53,0,,0,0,Time,
12/27/2019,Nancy Smash,"3 Rounds
400m Sandbag Run
20 Overhead Squats [135/95]",8415405,Fitness Battalion,CrossFit: 12:00,26:55,0,,1,0,Time,"115#, 50# bag"
12/26/2019,Metcon,"15min AMRAP
10 1-Arm DB Snatches (R) [50/35]
5 1-Leg DB DL (R)
10 1-Arm DB Snatches (L)
5 1-Leg DB DL (L)
30m Frog Jumps",14251490,Fitness Battalion,CrossFit: 6:30,5 + 11,0,,1,0,AMRAP - Rounds and Reps,
12/17/2019,Metcon,"5 Rounds
10 Pull Ups
10 Shoulder Presses [95/65]
30m Burpee Broad Jumps",14176650,Fitness Battalion,CrossFit Coaches Class,15:30,0,,1,0,Time,
12/16/2019,Metcon,"21-15-9
Cal Bike
WB Shots [20/14]
(15-11-6 cals for ladies)",14176424,Fitness Battalion,CrossFit Coaches Class,6:11,0,,1,0,Time,men's RX calories
12/12/2019,Helen,"3 Rounds for time of:  
400m Run  
21 Kettlebell Swings, 53# / 35#  
12 Pull-ups",134,Fitness Battalion,CrossFit Coaches Class,9:11,1,PR by 0:36 vs. 9:47 on 05/06/2019,1,0,Time,
12/11/2019,Metcon,"15min AMRAP
3 Power Cleans [225/135]
4 Front Rack Lunges
5 Bar Facing Burpees",14109479,Fitness Battalion,CrossFit: 17:30,10 + 0,0,,1,0,AMRAP - Rounds and Reps,
12/06/2019,Metcon,"15min AMRAP
7 Hang Power Cleans [95/65]
7 Shoulder to Overhead",14026348,Fitness Battalion,CrossFit Coaches Class,10 + 3,0,,1,0,AMRAP - Rounds and Reps,
12/04/2019,Isabel,"For Time:  30 Snatches, 135# / 95#",142,Fitness Battalion,CrossFit: 18:30,2:55,1,PR by 1:35 vs. 4:30 on 01/21/2019,1,0,Time,
11/27/2019,Kendrick Smash,"400m Sandbag Carry [Red+Black/2x45]
10 Strict CTB Pull Ups
10 Clusters [135/95]
35 Tire Flips [345/225]
10 Power Snatches
10 Strict CTB Pull UPs
400m Sandbag Carry",12344722,Fitness Battalion,CrossFit: 17:30,19:30,0,,1,0,Time,
11/20/2019,Metcon,"21-15-9
Bench Press [135/95]
Goblet GHD Sit Ups [35/26]",13879702,Fitness Battalion,CrossFit: 18:30,8:17,0,,0,0,Time,75#
11/16/2019,Metcon,"Complete for time:

2 Rounds
30 WB Shots [20/14][14/10]
20cal Row

10 Bar Facing Burpees
8 G2O [95/65][65/45]
15 DL [225/155][135/95]
15 [HSPU][HRPU]

2 Rounds
4 DB Thrusters [50s/35s][35s/20s]
6 TTB
24 DU [Singles]

15 DL [315/205][185/135]
50ft [HSW][Bear Crawl]
10 Bar Facing Burpees
8 G2O [95/65][65/45]
30 Box Jumps [24""/20""]
5 C&J [185/115][115/75]

2 Rounds
4 DB Thrusters [50s/35s][35s/20s]
6 TTB
24 DU [Singles]

30 Pistols
5 C&J [185/115][115/75]


(At any time during the workout complete [Muscle Ups][Pull Ups] to earn 20sec per rep off your final time)",13816410,Fitness Battalion,CrossFit: 10:00,33:57,0,,1,0,Time,
11/15/2019,Metcon,"15min AMRAP
5 Back Squats [245/145]
10 DB Overhead Presses [50s/35s]
15m DB Bear Crawl",13816386,Fitness Battalion,CrossFit: 12:00,4 + 0,0,,1,0,AMRAP - Rounds and Reps,155#
11/14/2019,5min KB Long Cycle,This is an AMRAP of a swinging style clean and press/jerk with a kb in each hand. You must keep the kbs in your hands for the duration; they may not be put down. Record your kb weight in your notes,12170650,Fitness Battalion,CrossFit Coaches Class,25 Reps,0,,1,0,AMRAP - Reps,35 lb kettle bells
11/14/2019,Metcon,"3 rounds
100 DU
15 Power Cleans [135/85]
10 Overhead Lunges",13816348,Fitness Battalion,CrossFit Coaches Class,13:08,0,,1,0,Time,
11/13/2019,Metcon,"21-15-9
Deadlift [225/135]
TTB",13816321,Fitness Battalion,CrossFit: 17:30,5:17,0,,1,0,Time,
11/08/2019,Crossfit Games Open 20.5 (Ages 16-54),"For time, partitioned any way:

40 muscle-ups
80-cal. row
120 wall-ball shots, 20/14 lb ball to 10 /9 ft.

Time cap: 20 min.",13767608,Fitness Battalion,CrossFit: 12:00,20:00,0,,1,0,Time,"200 reps, tb 11:58"
11/07/2019,Metcon,"3 Rounds
400m Run
10 DB Clean and Jerks [35s/20s]
15m Duck Walk
15m Bear Crawl
15m Duck Walk",13697173,Fitness Battalion,CrossFit Coaches Class,10:17,0,,1,0,Time,
11/06/2019,Filthy Fifty,"For Time:  
50 Box jumps, 24""   
50 Jumping pull-ups  
50 Kettlebell swings, 1 pood  
50 steps Walking Lunge  
50 Knees to elbows  
50 Push press, 45#   
50 Back extensions   
50 Wall ball shots, 20#  
50 Burpees 
50 Double unders",121,Fitness Battalion,CrossFit: 18:30,22:53,1,PR by 3:12 vs. 26:05 on 05/17/2019,1,0,Time,
11/05/2019,Metcon,"20-16-10
OH Lunges [95/65]
Pull Ups",13697150,Fitness Battalion,CrossFit Coaches Class,5:36,0,,1,0,Time,
11/04/2019,Metcon,"15min AMRAP
10 Deadlifts [135/85]
3 Power Snatches
10/7cal Bike",13697136,Fitness Battalion,CrossFit Coaches Class,10 + 8,0,,1,0,AMRAP - Rounds and Reps,
11/01/2019,Crossfit Games Open 20.4 (Ages 16-54),"For time:

30 box jumps, 24 in/20 in
15 clean and jerks, 95 / 65lb
30 box jumps, 24 in /20 in
15 clean and jerks, 135 / 85 lb
30 box jumps, 24 in /20 in
10 clean and jerks, 185 / 115 lb
30 single-leg squats
10 clean and jerks, 225 / 145 lb
30 single-leg squats
5 clean and jerks, 275 lb / 175 lb
30 single-leg squats
5 clean and jerks, 315 lb / 205 lb

Time cap: 20 minutes",13698062,Fitness Battalion,CrossFit: 12:00,20:00,0,,1,0,Time,"183 reps, tb 14:00"
10/30/2019,Metcon,"15min AMRAP
15m Frog Jumps
3 Strict HSPU
15m Frog Jumps
4 Front Rack Lunges [185/115]",13666113,Fitness Battalion,CrossFit: 18:30,7 + 5,0,,0,0,AMRAP - Rounds and Reps,kipping hspu
10/29/2019,Donkey Kong,"2 Rounds
40 Push Ups
30 Deadlifts [185/115]
20 Pull Ups
10 Squat Cleans",13456854,Fitness Battalion,CrossFit Coaches Class,16:30,0,,1,0,Time,
10/28/2019,Crossfit Games Open 20.3 and 18.4 (Ages 16-54),"21 deadlifts 225/155 lb
21 handstand push-ups
15 deadlifts 225/155 lb
15 handstand push-ups
9 deadlifts 225/155 lb
9 handstand push-ups
21 deadlifts 315/205 lb
50-ft. handstand walk
15 deadlifts 315/205 lb
50-ft. handstand walk
9 deadlifts 315/205 lb
50-ft. handstand walk

Time cap: 9 minutes",9404802,Fitness Battalion,CrossFit Coaches Class,9:00,0,,0,0,Time,66 reps
10/23/2019,Metcon,"21-15-9
Power Cleans [135/85]
Front Rack Lunges",13599531,Fitness Battalion,CrossFit: 6:30,4:59,0,,1,0,Time,
10/20/2019,Karen Smash,150 Thrusters [75/55],8612324,Fitness Battalion,Open Gym: 10:00,11:50,1,PR by 1:43 vs. 13:33 on 03/08/2018,1,0,Time,
